,ANO_OCORRENCIA,MES_OCORRENCIA,UF,MUNICIPIO,ESPECIE_ARMA,MARCA_ARMA,CALIBRE_ARMA,TIPO_OCORRENCIA,MAIS_1000_MIL_HAB,TOTAL,outlier
5594,2024,7,SP,GUARANTÃ                           ,Rifle                                             ,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ,.22 LR                                            ,Apostilada no Exercito                                                    ,N,1,False
5595,2024,7,SP,GUARULHOS                          ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Campanha do Desarmamento                                                  ,S,1,False
5596,2024,7,SP,HORTOLÂNDIA                        ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Apostilada no Exercito                                                    ,S,1,False
5597,2024,7,SP,HORTOLÂNDIA                        ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,Apostilada no Exercito                                                    ,S,1,False
5598,2024,7,SP,ILHABELA                           ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,"6,35mm                                            ",Extravio/Perda de Arma de Fogo                                            ,N,1,False
5599,2024,7,SP,ITANHAÉM                           ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apostilada no Exercito                                                    ,S,1,False
5600,2024,7,SP,ITANHAÉM                           ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Recuperação de Arma de Fogo                                               ,S,1,False
5601,2024,7,SP,JACAREÍ                            ,Pistola                                           ,IMBEL                                                                 ,.380                                              ,Recuperação de Arma de Fogo                                               ,S,1,False
5602,2024,7,SP,JANDIRA                            ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.32                                               ,Campanha do Desarmamento                                                  ,S,1,False
5603,2024,7,SP,LIMEIRA                            ,Pistola                                           ,BERSA                                                                 ,.380 ACP                                          ,Recuperação de Arma de Fogo                                               ,S,1,False
5604,2024,7,SP,MARÍLIA                            ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,Apreensão de Arma de Fogo                                                 ,S,1,False
5605,2024,7,SP,MARÍLIA                            ,Revolver                                          ,INA (INDÚSTRIA NACIONAL DE ARMAS)                                     ,.32                                               ,Campanha do Desarmamento                                                  ,S,1,False
5606,2024,7,SP,MAUÁ                               ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9x19mm                                            ,Furto de Arma de Fogo                                                     ,S,1,False
5607,2024,7,SP,MENDONÇA                           ,Revolver                                          ,ROSSI (AMADEO ROSSI S.A.)                                             ,.32                                               ,Campanha do Desarmamento                                                  ,N,1,False
5608,2024,7,SP,MENDONÇA                           ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Campanha do Desarmamento                                                  ,N,1,False
5609,2024,7,SP,MONTE MOR                          ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apostilada no Exercito                                                    ,N,1,False
5610,2024,7,SP,OLÍMPIA                            ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Apreensão de Arma de Fogo                                                 ,N,1,False
5611,2024,7,SP,OSASCO                             ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,"7,65mm                                            ",Apostilada no Exercito                                                    ,S,1,False
5612,2024,7,SP,OSASCO                             ,Revolver                                          ,ROSSI (AMADEO ROSSI S.A.)                                             ,.38                                               ,Campanha do Desarmamento                                                  ,S,1,False
5613,2024,7,SP,OSASCO                             ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.32                                               ,Campanha do Desarmamento                                                  ,S,1,False
5614,2024,7,SP,PAULÍNIA                           ,Carabina                                          ,ROSSI (AMADEO ROSSI S.A.)                                             ,.38                                               ,Apostilada no Exercito                                                    ,S,1,False
5615,2024,7,SP,PAULÍNIA                           ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apostilada no Exercito                                                    ,S,1,False
5616,2024,7,SP,PIEDADE                            ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.32                                               ,Campanha do Desarmamento                                                  ,N,1,False
5617,2024,7,SP,PINDAMONHANGABA                    ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Recuperação de Arma de Fogo                                               ,S,1,False
5618,2024,7,SP,PIRACICABA                         ,Espingarda                                        ,CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ,12                                                ,Apostilada no Exercito                                                    ,S,1,False
5619,2024,7,SP,PIRACICABA                         ,Pistola                                           ,IMBEL                                                                 ,.380                                              ,Recuperação de Arma de Fogo                                               ,S,1,False
5620,2024,7,SP,POMPÉIA                            ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Apreensão de Arma de Fogo                                                 ,N,1,False
5621,2024,7,SP,PRAIA GRANDE                       ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,9x19mm                                            ,Apostilada no Exercito                                                    ,S,2,False
5622,2024,7,SP,PRESIDENTE PRUDENTE                ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Apreensão de Arma de Fogo                                                 ,S,1,False
5623,2024,7,SP,RIBEIRÃO PRETO                     ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Campanha do Desarmamento                                                  ,S,1,False
5624,2024,7,SP,RIBEIRÃO PRETO                     ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380 ACP                                          ,Furto de Arma de Fogo                                                     ,S,1,False
5625,2024,7,SP,RIO CLARO                          ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,.380                                              ,Recuperação de Arma de Fogo                                               ,S,1,False
5626,2024,7,SP,SERRA AZUL                         ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Recuperação de Arma de Fogo                                               ,N,1,False
5627,2024,7,SP,SÃO BERNARDO DO CAMPO              ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Apreensão de Arma de Fogo                                                 ,S,1,False
5628,2024,7,SP,SÃO JOSÉ DO RIO PRETO              ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apreensão de Arma de Fogo                                                 ,S,1,False
5629,2024,7,SP,SÃO JOSÉ DOS CAMPOS                ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Campanha do Desarmamento                                                  ,S,1,False
5630,2024,7,SP,SÃO JOSÉ DOS CAMPOS                ,Pistola                                           ,GLOCK GMBH (ÁUSTRIA)                                                  ,.380                                              ,Recuperação de Arma de Fogo                                               ,S,1,False
5631,2024,7,SP,SÃO JOSÉ DOS CAMPOS                ,Pistola                                           ,TAURUS ARMAS S.A.                                                     ,9 mm                                              ,Apostilada no Exercito                                                    ,S,1,False
5632,2024,7,SP,SÃO JOSÉ DOS CAMPOS                ,Revolver                                          ,SMITH & WESSON                                                        ,.38                                               ,Campanha do Desarmamento                                                  ,S,1,False
5633,2024,7,SP,SÃO JOSÉ DOS CAMPOS                ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Recuperação de Arma de Fogo                                               ,S,1,False
5634,2024,7,SP,SÃO JOÃO DA BOA VISTA              ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apostilada no Exercito                                                    ,N,2,False
5635,2024,7,SP,SÃO MANUEL                         ,Carabina                                          ,ROSSI (AMADEO ROSSI S.A.)                                             ,.38                                               ,Apostilada no Exercito                                                    ,N,1,False
5636,2024,7,SP,SÃO MANUEL                         ,Revolver                                          ,TAURUS ARMAS S.A.                                                     ,.38                                               ,Apostilada no Exercito                                                    ,N,1,False
